article_name,article_id
Chinese Rites controversy,895
Chinese language,896
Chinyingi,897
Chives,898
Chlorine,899
Chocolate,900
Chola dynasty,901
Cholera,902
Chordate,903
Chris Evert,904
Christian Bale,905
Christian monasticism,906
Christianity,907
Christina Aguilera,908
Christmas Island,909
Christopher Columbus,910
Christopher Wren,911
Chromatic aberration,912
Chromatophore,913
Chromium,914
Church of England,915
Church of Ireland,916
Cicely,917
Cider,918
Cinema of the United States,919
Citizen Kane,920
Citizenship,921
Citrus,922
City,923
City status in the United Kingdom,924
Civil War token,925
Civil rights,926
Civil society,927
Civilization,928
Civilization (computer game),929
Clarinet,930
Classic female blues,931
Claude Lévi-Strauss,932
Claude Monet,933
Claudius,934
Clay,935
Cleopatra VII,936
Cleopatra VII of Egypt,937
"Cleveland, Ohio",938
Clifton Suspension Bridge,939
Climate,940
Climate change,941
Clock,942
Clone Wars (Star Wars),943
Clothing,944
Cloud,945
Coal,946
Coal Tit,947
Cobalt,948
Coccinellidae,949
Cochineal,950
Cockatiel,951
Cocoa,952
Coconut,953
Coconut crab,954
Coconut oil,955
Cocos (Keeling) Islands,956
Cod,957
Code of Hammurabi,958
Coffee,959
Coin,960
Cold War,961
Colditz Castle,962
Colima (volcano),963
Collapse of the World Trade Center,964
Colley Cibber,965
Cologne,966
Colombia,967
Colombo,968
Color,969
Color Graphics Adapter,970
Color blindness,971
Colorado River,972
Colossus of Rhodes,973
Columba,974
Columbia River,975
Columbine High School massacre,976
"Columbus, Ohio",977
Comet,978
Comet Hale-Bopp,979
Comet Halley,980
Comet Hyakutake,981
Comet Shoemaker-Levy 9,982
Comet White-Ortiz-Bolelli,983
Comics,984
Comma Johanneum,985
Commodore 64,986
Common Basilisk,987
Common Cuckoo,988
Common Eider,989
Common Eland,990
Common Hazel,991
Common Pheasant,992
Common Tern,993
Common agouti,994
Common cold,995
Common sage,996
Commonwealth Games,997
Communication,998
Communism,999
Community,1000
Comoros,1001
Compact Disc,1002
Company (law),1003
Compsognathus,1004
Computational chemistry,1005
Computer,1006
Computer and video games,1007
Computer programming,1008
Computer science,1009
Conakry,1010
Concorde,1011
Condoleezza Rice,1012
Conflict,1013
Confucianism,1014
Confucius,1015
Congo River,1016
Consolation of Philosophy,1017
Constantine I,1018
Constantine II of Scotland,1019
"Constitution of May 3, 1791",1020
Constitutional monarchy,1021
Constructivism (art),1022
Consumer protection,1023
Contact lens,1024
Continent,1025
Continental crust,1026
Control car (rail),1027
Convention on the International Trade in Endangered Species of Wild Flora and Fauna,1028
Convention on the Rights of the Child,1029
Cook Islands,1030
Cookiecutter shark,1031
Cooperative,1032
Coot,1033
Copenhagen,1034
Copenhagen Fire of 1728,1035
Copper,1036
Copper(I) chloride,1037
Coriander,1038
Corinthian War,1039
Cormorant,1040
Corn oil,1041
Cornea,1042
Cornell University,1043
Coronation Street,1044
Corporate finance,1045
Corporation,1046
Corrosion,1047
Corundum,1048
Cosmic inflation,1049
Cosmic microwave background radiation,1050
Costa Rica,1051
Costume design,1052
Cotopaxi,1053
Cotswolds,1054
Cotton,1055
Coulomb's law,1056
Country,1057
Coupling (railway),1058
Coventry,1059
Crab Nebula,1060
Crash test dummy,1061
Craters of the Moon National Monument and Preserve,1062
Craton,1063
Creation-evolution controversy,1064
Creationism,1065
Creative Commons,1066
Cretaceous,1067
Cretaceous-Tertiary extinction event,1068
Cricket,1069
Crime,1070
Crime and Punishment,1071
Crime in Mexico,1072
Crimean Karaites,1073
Crimean War,1074
Crimson-collared Tanager,1075
Cristero War,1076
Criticism of the War on Terrorism,1077
Croatia,1078
Crocodile,1079
Crohn's disease,1080
Cross Fell,1081
Crossbill,1082
Crow,1083
Crown Jewels of the United Kingdom,1084
Crusades,1085
Crust (geology),1086
Crustacean,1087
Cryptography,1088
Crystal,1089
Crystallographic defects in diamond,1090
Cuba,1091
Cubeb,1092
Cubism,1093
Cuckmere Haven,1094
Cultivar,1095
Cultural diversity,1096
Cultural identity,1097
Culture,1098
Culture of the Democratic Republic of the Congo,1099
Curium,1100
Currency,1101
Cyanocobalamin,1102
Cyberpunk,1103
Cyclamen,1104
Cyclone Percy,1105
Cyclone Rosita,1106
Cyclops,1107
Cymbopogon,1108
Cyprus,1109
Cyril Clarke,1110
Cyrus K. Holliday,1111
Cyrus the Great,1112
Cystic fibrosis,1113
Czech Republic,1114
Dál Riata,1115
Düsseldorf,1116
DNA,1117
DNA repair,1118
DVD,1119
Dad's Army,1120
Dada,1121
Dakar,1122
"Dakota, Minnesota and Eastern Railroad",1123
Daley Thompson,1124
"Dallas, Texas",1125
Dam,1126
Damascus,1127
Damascus steel,1128
Damon Hill,1129
Dance,1130
Dandelion,1131
Daniel Day-Lewis,1132
Daniel Ellsberg,1133
Danny Deever,1134
Danske Statsbaner,1135
Dante Alighieri,1136
Danube,1137
Darfur conflict,1138
Dark Ages,1139
Darling River,1140
Darmstadtium,1141
Darth Vader,1142
Dartmoor,1143
Das Kapital,1144
Data Encryption Standard,1145
David Attenborough,1146
David Beckham,1147
David Blanchflower,1148
David Cameron,1149
David Copperfield (novel),1150
David Helvarg,1151
David Heymann,1152
David Hilbert,1153
David Hume,1154
David III of Tao,1155
David Livingstone,1156
Davis Cup,1157
Davy Jones' Locker,1158
Day,1159
Dayuan,1160
Dead Sea,1161
Dead Sea scrolls,1162
Death Valley National Park,1163
Decade Volcanoes,1164
Deconstructivism,1165
Defaka,1166
Defense of Sihang Warehouse,1167
Definition of planet,1168
Deinonychus,1169
Deity,1170
Delhi,1171
Deluge (mythology),1172
Demand Note,1173
Democracy,1174
Democratic Action Party,1175
Democratic Republic of the Congo,1176
Demosthenes,1177
Denis Law,1178
Denmark,1179
Dennis Ritchie,1180
"Denver, Colorado",1181
Derby,1182
Desert,1183
Desert locust,1184
Desmond Tutu,1185
Despotism,1186
"Detroit, Michigan",1187
Devonian,1188
Dewey Square,1189
Diabetes mellitus,1190
Diamond,1191
Diamond cut,1192
Diamond simulant,1193
Diane Keaton,1194
Dice,1195
Dido and Aeneas,1196
Diego Garcia,1197
Diego Maradona,1198
Diego Velázquez,1199
Differential equation,1200
Differential geometry and topology,1201
Diffuse interstellar band,1202
Dik-dik,1203
Dill,1204
Dilophosaurus,1205
Dimetrodon,1206
Dingo,1207
Dinosaur,1208
Diplodocus,1209
Directdebit,1210
Directive Principles in India,1211
Disneyland Railroad,1212
Distilled beverage,1213
Dixie Mission,1214
Djibouti,1215
Dmitri Mendeleev,1216
Doctor Who,1217
Dodo,1218
Dog,1219
Doha,1220
Dolphin,1221
Domesday Book,1222
Domestic AC power plugs and sockets,1223
Domestic goat,1224
Domesticated turkey,1225
Dominica,1226
Dominican Republic,1227
Donald Bradman,1228
Donald Duck,1229
Donald Knuth,1230
Donation,1231
Doom,1232
Dorset,1233
Double-decker bus,1234
Double bass,1235
Douglas Adams,1236
Douglas DC-4,1237
Dove,1238
Dover,1239
Down syndrome,1240
Dr. Seuss,1241
Drama,1242
Draughts,1243
Drawing,1244
Dresden,1245
Drinking water,1246
Driving on the left or right,1247
Drosera anglica,1248
Drosophila melanogaster,1249
Drought,1250
Drum and bass,1251
Du Fu,1252
Dualism (philosophy of mind),1253
Dubai,1254
Dublin,1255
Dubnium,1256
Duchenne muscular dystrophy,1257
Dundee,1258
Dundee United F.C.,1259
Dune,1260
Dunnock,1261
Dunstable Downs,1262
Duran Duran,1263
Durham,1264
Durham Cathedral,1265
Durian,1266
Dutch language,1267
Dwight D. Eisenhower,1268
Dysprosium,1269
E.T. the Extra-Terrestrial (Atari 2600),1270
E. E. Cummings,1271
E. P. Wigner,1272
ECHELON,1273
EMD BL2,1274
EMD F7,1275
EMD GP30,1276
Eagle,1277
Eagle Scout (Boy Scouts of America),1278
Earl of Shaftesbury,1279
Earless seal,1280
Earth,1281
Earth's atmosphere,1282
Earthquake,1283
Earwax,1284
East-West Schism,1285
EastEnders,1286
East Africa,1287
East Flemish,1288
East Timor,1289
Easter Island,1290
Eastern Orthodox Church,1291
Eastern Roman Empire,1292
Ebony,1293
Ecology,1294
Economic inequality,1295
Economics,1296
Economy of Africa,1297
Economy of India,1298
Economy of Pakistan,1299
Economy of Scotland,1300
Economy of the Iroquois,1301
Economy of the Republic of Ireland,1302
Ecuador,1303
Edema,1304
Edgar Allan Poe,1305
Edible salt,1306
Edinburgh,1307
Edmond Halley,1308
Edmonton,1309
Edmund Burke,1310
Edmund Hillary,1311
Education,1312
Education in the United States,1313
Educational psychology,1314
Edward Gibbon,1315
Edward III of England,1316
Edward II of England,1317
Edward IV of England,1318
Edward I of England,1319
Edward Jenner,1320
Edward Teller,1321
Edward VIII of the United Kingdom,1322
Edward VII of the United Kingdom,1323
Edward VI of England,1324
Edward V of England,1325
Edward the Confessor,1326
Edwin of Northumbria,1327
Effect of Hurricane Katrina on New Orleans,1328
Effects of global warming,1329
Effects of nuclear explosions,1330
Egg (food),1331
Egypt,1332
Egyptian pyramids,1333
Eifel Aqueduct,1334
Eilmer of Malmesbury,1335
Einsteinium,1336
El Aaiún,1337
"El Hatillo Municipality, Miranda",1338
El Lissitzky,1339
El Niño-Southern Oscillation,1340
El Salvador,1341
Elagabalus,1342
Eldfell,1343
Election,1344
Electric charge,1345
Electric field,1346
Electrical engineering,1347
Electrical resistance,1348
Electricity,1349
Electromagnetic radiation,1350
Electron,1351
Electron beam welding,1352
Electronic amplifier,1353
Electronics,1354
Elementary algebra,1355
Elementary arithmetic,1356
Elementary group theory,1357
Eleocharis dulcis,1358
Elephant,1359
Elephant bird,1360
Elephant shrew,1361
Elfin-woods Warbler,1362
Elias Ashmole,1363
Eliminative materialism,1364
Elizabeth Fry,1365
Elizabeth II of the United Kingdom,1366
Elizabeth I of England,1367
Elizabethan Poor Law (1601),1368
Elvis Presley,1369
Emacs,1370
Emanuel Swedenborg,1371
Emirate,1372
Emma Roberts,1373
Emotion,1374
Emperor Penguin,1375
Empires  Dawn of the Modern World,1376
Empiricism,1377
Employment,1378
Emu,1379
Enceladus (moon),1380
Encyclopædia Britannica,1381
Endoscopic foreign body retrieval,1382
Energy,1383
Engineering,1384
England,1385
England expects that every man will do his duty,1386
English Channel,1387
English Reformation,1388
English language,1389
English monarchs family tree,1390
English peasants' revolt of 1381,1391
English poetry,1392
Enigma machine,1393
Entropy,1394
Environmental science,1395
Enzyme kinetics,1396
Eocene,1397
Epaminondas,1398
Epazote,1399
Epic of Gilgamesh,1400
Episcopal polity,1401
Equal Protection Clause,1402
Equatorial Guinea,1403
Erbium,1404
Eric Clapton,1405
Erie Canal,1406
Eris (dwarf planet),1407
Eritrea,1408
Ernest Hemingway,1409
Ernest Rutherford,1410
Eruption column,1411
Erwin Rommel,1412
Eskimo,1413
Esox,1414
Esperanto,1415
Essential oil,1416
Estonia,1417
Ethanol,1418
Ethics,1419
Ethiopia,1420
Ethiopian Wolf,1421
